day_of_week,hour,trip_count
1,0,6462
1,1,4915
1,2,5014
1,3,1553
1,4,729
1,5,521
1,6,944
1,7,2245
1,8,5408
1,9,10478
1,10,17515
1,11,23884
1,12,29085
1,13,31336
1,14,32309
1,15,31817
1,16,29454
1,17,26817
1,18,23802
1,19,20180
1,20,15522
1,21,11889
1,22,8648
1,23,5408
2,0,3261
2,1,1952
2,2,1286
2,3,571
2,4,383
2,5,743
2,6,2170
2,7,6504
2,8,11654
2,9,13617
2,10,16258
2,11,20055
2,12,23205
2,13,23629
2,14,22065
2,15,22771
2,16,24043
2,17,26637
2,18,24093
2,19,19749
2,20,15454
2,21,10917
2,22,8008
2,23,5116
3,0,2886
3,1,1830
3,2,1013
3,3,494
3,4,341
3,5,862
3,6,2283
3,7,8328
3,8,11764
3,9,14205
3,10,14511
3,11,15966
3,12,20588
3,13,19852
3,14,17629
3,15,20976
3,16,22842
3,17,26188
3,18,24583
3,19,20269
3,20,15464
3,21,11139
3,22,8150
3,23,5365
4,0,3226
4,1,1968
4,2,1164
4,3,493
4,4,364
4,5,762
4,6,2292
4,7,7654
4,8,13072
4,9,13221
4,10,13778
4,11,16806
4,12,19414
4,13,19929
4,14,19179
4,15,20299
4,16,22785
4,17,26128
4,18,24240
4,19,20295
4,20,15738
4,21,11719
4,22,8669
4,23,5311
5,0,3297
5,1,2111
5,2,1216
5,3,551
5,4,386
5,5,768
5,6,2128
5,7,7872
5,8,11567
5,9,13967
5,10,14596
5,11,16932
5,12,21739
5,13,21910
5,14,19614
5,15,23237
5,16,23635
5,17,26618
5,18,24604
5,19,20411
5,20,16097
5,21,11778
5,22,9124
5,23,6388
6,0,4313
6,1,3090
6,2,2547
6,3,887
6,4,474
6,5,798
6,6,2081
6,7,6436
6,8,12035
6,9,13989
6,10,16970
6,11,22173
6,12,26111
6,13,27426
6,14,27481
6,15,27476
6,16,27942
6,17,27755
6,18,24389
6,19,20210
6,20,16464
6,21,14141
6,22,11078
6,23,7998
7,0,6102
7,1,4924
7,2,4546
7,3,1481
7,4,633
7,5,627
7,6,1008
7,7,2856
7,8,6275
7,9,12657
7,10,20276
7,11,28156
7,12,33331
7,13,36683
7,14,36953
7,15,37141
7,16,34256
7,17,30667
7,18,26586
7,19,22397
7,20,17568
7,21,14434
7,22,11960
7,23,8715
