month,subscriber_type,trip_count,avg_duration
2013-12,Local365,66,11.3
2013-12,Annual Pass,19,9.4
2013-12,Annual ,2,9.0
2013-12,Founding Member,48,15.8
2013-12,24 Hour Walk Up Pass,1264,44.1
2013-12,Annual,4,19.3
2013-12,Annual Membership,2,8.0
2013-12,7-Day,13,12.0
2014-01,Explorer,5,34.4
2014-01,Annual Membership,6,5.3
2014-01,24 Hour Walk Up Pass,2245,40.8
2014-01,7-Day,81,14.5
2014-01,Annual Pass,9,11.3
2014-01,Local365,651,10.6
2014-01,Founding Member,208,7.3
2014-01,Annual,2,17.5
2014-01,Annual ,33,12.5
2014-02,Annual Pass,2,22.0
2014-02,Semester Membership,46,11.2
2014-02,7-Day,46,15.0
2014-02,Explorer,54,52.5
2014-02,24 Hour Walk Up Pass,3822,39.9
2014-02,Annual,7,9.3
2014-02,Local365,992,9.7
2014-02,Founding Member,228,8.6
2014-02,Annual Membership,5,4.8
2014-02,Annual ,23,16.3
2014-03,Explorer,88,24.4
2014-03,24-Hour Membership,1,29.0
2014-03,Semester Membership,264,10.7
2014-03,Local365,2704,10.4
2014-03,24 Hour Walk Up Pass,20045,36.9
2014-03,Annual Membership,32,11.8
2014-03,7-Day,996,15.1
2014-03,Annual Pass,4,13.3
2014-03,Annual,49,15.1
2014-03,Annual ,66,15.6
2014-03,Founding Member,332,11.3
2014-04,Founding Member,295,9.5
2014-04,Annual,44,12.5
2014-04,7-Day,176,17.1
2014-04,Annual ,12,13.4
2014-04,Local365,2662,8.8
2014-04,24 Hour Walk Up Pass,10360,39.9
2014-04,Annual Membership,57,6.5
2014-04,Heartland Pass (Annual Pay),2,11.5
2014-04,Explorer,58,44.6
2014-04,Annual Pass,26,18.5
2014-04,Semester Membership,164,9.1
2014-05,7-Day,223,14.2
2014-05,24 Hour Walk Up Pass,10960,36.6
2014-05,Founding Member,359,8.4
2014-05,Annual Membership,55,7.6
2014-05,Annual ,4,16.0
2014-05,Annual,59,15.1
2014-05,Local365,2695,9.9
