start_station_name,end_station_name,avg_duration,trip_count
10th & Red River,10th & Red River,179.3,31
10th & Red River,East 11th St. & San Marcos,45.3,13
10th & Red River,21st & University,26.2,15
10th & Red River,Capitol Station / Congress & 11th,15.8,14
10th & Red River,21st & Speedway @PCL,11.9,17
10th & Red River,4th & Congress,7.5,10
10th & Red River,Brazos & 6th,6.6,16
10th & Red River,Republic Square @ 5th & Guadalupe,6.3,10
10th/Red River,Nash Hernandez/East @ RBJ South,114.8,19
10th/Red River,Lake Austin/Enfield,69.7,10
10th/Red River,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,68.7,20
10th/Red River,11th/Congress @ The Texas Capitol,67.3,52
10th/Red River,10th/Red River,62.6,240
10th/Red River,2nd/Lavaca @ City Hall,58.0,31
10th/Red River,11th/San Jacinto,55.9,29
10th/Red River,Sterzing/Barton Springs,55.4,20
10th/Red River,Zilker Park,47.9,22
10th/Red River,21st/Speedway @ PCL,43.7,54
10th/Red River,South Congress/James,43.5,22
10th/Red River,Barton Springs Pool,42.4,13
10th/Red River,East 11th/Victory Grill,41.6,27
10th/Red River,East 6th/Pedernales,41.5,11
10th/Red River,Riverside/South Lamar,39.8,14
10th/Red River,Lakeshore/Austin Hostel,37.8,29
10th/Red River,Red River/Cesar Chavez @ The Fairmont,35.9,43
10th/Red River,8th/San Jacinto,35.0,16
10th/Red River,16th/San Antonio,34.3,34
10th/Red River,East 11th/San Marcos,34.2,48
10th/Red River,Barton Springs/Kinney,34.2,10
10th/Red River,South 1st/Riverside @ Long Center,34.1,22
10th/Red River,4th/Congress,33.8,53
10th/Red River,Lakeshore/Pleasant Valley,33.1,14
10th/Red River,Boardwalk West,32.3,24
10th/Red River,6th/Chalmers,30.8,12
10th/Red River,6th/West,30.8,14
10th/Red River,12th/San Jacinto @ State Capitol Visitors Garage,30.0,44
10th/Red River,9th/Henderson,27.8,21
10th/Red River,East 4th/Chicon,27.4,15
10th/Red River,South Congress @ Bouldin Creek,27.1,11
10th/Red River,6th/Brazos,26.9,27
10th/Red River,Rainey/Cummings,26.3,47
10th/Red River,East 5th/Shady @ Eastside Bus Plaza,26.1,10
10th/Red River,5th/Bowie,25.7,35
10th/Red River,28th/Rio Grande,25.4,28
10th/Red River,26th/Nueces,25.1,34
10th/Red River,South Congress/Academy,25.0,26
10th/Red River,East 2nd/Pedernales,24.7,18
10th/Red River,6th/Trinity,24.3,38
10th/Red River,2nd/Congress,24.1,47
10th/Red River,Dean Keeton/Speedway,23.9,40
10th/Red River,13th/Trinity @ Waterloo Greenway,23.9,19
10th/Red River,3rd/Nueces,23.9,22
10th/Red River,21st/Guadalupe,23.8,35
10th/Red River,Dean Keeton/Whitis,23.8,21
10th/Red River,Barton Springs/Bouldin @ Palmer Auditorium,23.8,26
10th/Red River,South Congress/Elizabeth,23.1,42
10th/Red River,Guadalupe/West Mall @ University Co-op,23.0,11
10th/Red River,Plaza Saltillo,22.9,63
10th/Red River,22.5/Rio Grande,22.8,15
10th/Red River,South Congress/Barton Springs @ The Austin American-Statesman,21.7,25
10th/Red River,Cesar Chavez/Congress,21.5,28
10th/Red River,3rd/Trinity @ The Convention Center,20.7,53
10th/Red River,4th/Guadalupe @ Republic Square,20.3,24
10th/Red River,23rd/San Jacinto @ DKR Stadium,20.3,84
10th/Red River,3rd/West,20.0,85
10th/Red River,South Congress/Mary,19.8,15
10th/Red River,East 6th/Medina,19.4,34
10th/Red River,22nd/Pearl,19.0,22
10th/Red River,Rainey/Davis,18.9,14
10th/Red River,Rainey/Driskill,18.4,35
10th/Red River,Dean Keeton/Park Place,18.3,16
10th/Red River,23rd/Pearl,18.2,45
10th/Red River,21st/University,17.7,53
10th/Red River,8th/Red River,16.6,134
10th/Red River,6th/Congress,16.1,80
10th/Red River,4th/Sabine,16.1,32
10th/Red River,Rosewood/Angelina,15.9,24
10th/Red River,Rio Grande/12th,15.4,13
10th/Red River,East 6th/Robert T. Martinez,14.5,11
10th/Red River,8th/Lavaca,14.4,48
10th/Red River,8th/Congress,13.9,57
11th & Salina ,11th & San Jacinto,231.9,13
11th & Salina ,Red River & 8th Street,188.6,14
11th & Salina ,East 6th & Pedernales St.,135.4,25
11th & Salina ,Lakeshore & Pleasant Valley,107.5,11
11th & Salina ,East 11th St. & San Marcos,106.6,17
11th & Salina ,East 11th St. at Victory Grill,68.8,28
11th & Salina ,Capitol Station / Congress & 11th,67.1,15
